Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
South Africa,ZAF,2021,44.319996,17.439999,3.3499997,5.6599994,0.78999996,6.4499993
South America,,2021,43.000843,27.98916,0.6842877,12.358558,0.5170636,9.656942
South America (FAO),,2021,43,27.99,0.69,12.36,0.52,9.66
South Korea,KOR,2021,22.190002,20.450003,0.43000004,38.320004,0.09000001,55.640003
South Sudan,SSD,2021,3.8099968,11.759991,3.6499972,0,0.96999925,3.0399976
South-eastern Asia (FAO),,2021,16.09,3.41,0.33,9.3,0.05,39.02
Southern Africa (FAO),,2021,39.85,16.4,3.2,5.4,1.41,6.31
Southern Asia (FAO),,2021,4.08,3.19,1.08,0.18,0.01,8.95
Southern Europe (FAO),,2021,24.61,14.55,1.99,40.74,1.17,31.58
Spain,ESP,2021,30.529999,12.669999,1.7599999,53.749996,1.6099999,40.109997
Sri Lanka,LKA,2021,10.560001,1.2600001,0.080000006,0.09000001,0,29.210001
Sudan,SDN,2021,1.7499998,7.669999,7.249999,0,3.2499998,1.1099999
Suriname,SUR,2021,48.160076,4.7700076,0.040000062,7.740012,0.080000125,17.110027
Sweden,SWE,2021,16.290009,21.58001,1.1400005,27.760012,0.15000007,30.870014
Switzerland,CHE,2021,17.610003,19.760002,1.3300002,28.230003,1.0600001,15.930002
Syria,SYR,2021,6.430001,2.9800005,8.030001,0.21000002,0.110000014,1.7900002
Taiwan,TWN,2021,39.42001,8.160002,4.4900007,37.700012,0.04000001,29.710007
Tajikistan,TJK,2021,3.4999933,21.719957,6.729987,0.41999918,0,0.6399988
Tanzania,TZA,2021,1.5099999,7.9799995,1.5299999,0.65999997,0.41999996,6.6999993
Thailand,THA,2021,11.33,1.45,0.04,13.11,0.059999995,28.659998
Togo,TGO,2021,4.7000003,0.68000007,1.5100002,1.7900002,0.7400001,8.940001
Trinidad and Tobago,TTO,2021,43.059692,6.5399528,1.1299919,7.6099453,0.15999885,18.399868
Tunisia,TUN,2021,17.680002,4.3800006,5.4800005,0.010000001,0.26000002,13.130001
Turkey,TUR,2021,20.049997,17.329998,5.6399994,0,0.009999999,5.4799995
Turkmenistan,TKM,2021,8.57,26.49,20.25,0.08,1.96,2.51
Uganda,UGA,2021,1.48,4.22,0.88,2.8,0,14.3
Ukraine,UKR,2021,23.759998,6.3399997,0.28,17.69,0.42999998,13.799999
United Arab Emirates,ARE,2021,49.190006,18.400002,10.210002,2.5600004,3.9700005,26.260004
United Kingdom,GBR,2021,34.14,18,3.64,25.32,1.16,18.07
United States,USA,2021,57.67,37.81,0.7,29.73,0.92,22.36
Upper-middle-income countries,,2021,23.567377,11.175183,2.6480076,22.432438,0.64338654,29.824686
Uruguay,URY,2021,23.319965,16.259977,0.63999903,20.729969,1.8199974,9.229986
Uzbekistan,UZB,2021,6.4699993,30.419998,4.9699993,0.15999998,0.22999999,3.9599998
Vanuatu,VUT,2021,20.899607,9.139829,0.11999775,13.179753,0.08999831,30.159433
Venezuela,VEN,2021,16.280005,13.020003,0.35000008,5.9400015,0.010000003,10.290003
Vietnam,VNM,2021,19.620003,5.1800003,0.23000002,27.300001,0.26000002,39.500004
Western Africa (FAO),,2021,3.93,2.34,1.95,2.11,1.42,11.03
Western Asia (FAO),,2021,23.19,10.76,5.32,0.69,0.7,7.47
Western Europe (FAO),,2021,19.91,17.51,1.33,37.83,1.02,21.4
World,OWID_WRL,2021,16.961702,9.3503,1.9773748,13.891306,0.6558128,20.032099
Yemen,YEM,2021,10.739999,2.9499998,3.9399996,0.009999999,0.14999999,2.5499997
Zambia,ZMB,2021,3.2399998,10.299999,0.80999994,1.8699999,2.0999997,12.329999
Zimbabwe,ZWE,2021,7.3299975,43.769985,1.9099994,0.7299998,2.2299993,1.9399993
